general_admissions,pneumonia_admissions,percentage
16894,136,0.0080501953356221
21627,195,0.0090165071438479
21083,219,0.0103875160081582
19470,170,0.0087313816127375
17898,155,0.008660185495586
17636,142,0.0080517124064413
21231,143,0.0067354340351372
19198,156,0.0081258464423377
18959,135,0.0071206287251437
18288,159,0.0086942257217847
18530,152,0.0082029141932002
16436,130,0.0079094670236067
16408,143,0.0087152608483666
19785,153,0.0077331311599696
18904,161,0.0085167160389335
18840,139,0.0073779193205944
18497,148,0.0080012975077039
18182,139,0.0076449235507644
16496,135,0.0081838021338506
16739,134,0.0080052571838222
20578,141,0.006851977840412
19450,163,0.0083804627249357
18944,140,0.0073902027027027
18902,127,0.0067188657284943
18795,169,0.0089917531258313
16586,118,0.0071144338598818
17019,126,0.0074034902168164
20511,128,0.0062405538491541
19105,139,0.0072755823082962
18817,153,0.0081309454216931
18126,141,0.007778881165177
18188,127,0.0069826259071915
17153,150,0.008744825977963
16849,131,0.0077749421330642
20588,174,0.0084515251602875
19343,146,0.0075479501628496
19349,154,0.007959067652075
19238,138,0.0071733028381328
18799,125,0.0066492898558433
17234,117,0.0067889056516188
17398,99,0.005690309230946
20672,149,0.0072078173374613
19091,118,0.0061809229479859
18480,124,0.0067099567099567
18511,139,0.0075090486737615
18721,132,0.0070509054003525
16971,125,0.0073655058629426
16498,92,0.0055764335070917
20462,158,0.0077216303391652
19593,128,0.0065329454396978
19426,106,0.0054566045506022
18700,138,0.007379679144385
18542,119,0.0064178621507927
15965,107,0.0067021609771374
16204,125,0.0077141446556405
19961,127,0.0063624066930514
18624,125,0.0067117697594501
18146,130,0.0071641133032073
17646,123,0.0069704182250935
17494,113,0.0064593574939979
15969,129,0.008078151418373
16172,98,0.0060598565421716
19195,127,0.0066163063297733
18558,134,0.0072206056687143
18964,130,0.0068550938620544
19460,155,0.0079650565262076
19106,121,0.0063330890819637
17127,137,0.007999065802534
17384,128,0.0073630924988495
23086,156,0.0067573421121025
22609,152,0.0067229864213366
22637,183,0.0080841100852586
22832,181,0.0079274702172389
22032,196,0.0088961510530137
18578,147,0.007912584777694
18441,135,0.007320644216691
25895,180,0.0069511488704383
24373,166,0.0068108152463791
23844,214,0.0089750041939271
23667,173,0.0073097562006168
22702,235,0.0103515108800986
18709,181,0.0096744882142284
18953,196,0.0103413707592465
26044,226,0.0086776224850253
24516,231,0.0094224180127263
24060,226,0.0093931837073981
23478,203,0.0086463923673226
22016,232,0.0105377906976744
17855,219,0.0122654718566227
18261,193,0.0105689721263895
25863,263,0.0101689672505123
24814,209,0.0084226646248085
23844,206,0.0086394900184532
23627,213,0.0090151098319718
21700,242,0.0111520737327188
18744,184,0.009816474605207
18848,215,0.0114070458404074
25938,220,0.008481764206955
24409,226,0.0092588799213404
24370,204,0.008370947886746
23262,193,0.0082967930530478
20760,201,0.0096820809248554
17768,174,0.009792886087348
17991,180,0.0100050025012506
25870,219,0.0084654039427908
24603,240,0.0097549079380563
23627,251,0.0106234392855631
21949,229,0.0104332771424666
17775,211,0.0118706047819971
18695,210,0.0112329499866274
19020,194,0.0101997896950578
26288,285,0.0108414485696895
24625,258,0.010477157360406
23148,227,0.0098064627613616
23305,258,0.0110705857112207
22049,263,0.0119279785931334
18789,227,0.0120815370695619
19428,255,0.0131253860407659
25779,292,0.0113270491485317
23317,272,0.011665308573144
18925,246,0.0129986789960369
24697,291,0.0117828076284568
22389,236,0.0105408906159274
18673,255,0.0136560809725271
19370,243,0.0125451729478575
26409,333,0.0126093377257753
25121,263,0.0104693284503005
23885,280,0.0117228386016328
22419,274,0.0122217761719969
20838,292,0.0140128611191093
19362,241,0.0124470612540026
18417,233,0.0126513547266112
26904,310,0.0115224501932798
25653,319,0.0124351927649787
26002,355,0.0136527959387739
25299,361,0.0142693387090398
22145,333,0.0150372544592458
19020,315,0.0165615141955835
20817,301,0.0144593361195177
24305,390,0.0160460810532812
19713,360,0.0182620605691675
25917,394,0.0152023768183045
25017,422,0.0168685294000079
22873,394,0.0172255497748437
19496,381,0.0195424702503077
19651,349,0.0177599104371278
26605,438,0.0164630708513437
25423,451,0.017739841875467
23980,377,0.0157214345287739
23207,391,0.0168483647175421
21786,425,0.0195079408794638
19234,380,0.0197566808776125
20222,414,0.020472752447829
26700,494,0.018501872659176
24424,466,0.0190795938421225
24005,410,0.0170797750468652
23572,436,0.0184965212964534
21859,420,0.0192140537078548
19392,372,0.0191831683168316
19856,382,0.0192385173247381
27339,519,0.0189838691978492
25975,485,0.0186717998075072
22911,446,0.0194666317489415
21988,488,0.0221939239585228
21772,413,0.0189693183905934
18270,388,0.0212370005473453
18808,436,0.0231816248404934
24717,502,0.0203099081603754
24853,478,0.0192330905725666
23719,553,0.0233146422699102
23130,441,0.0190661478599221
21186,480,0.022656471254602
19344,446,0.0230562448304383
19042,411,0.021583867240836
23498,528,0.0224699974465912
22628,502,0.0221849036591833
22086,453,0.0205107307796794
21323,468,0.0219481311260141
19338,447,0.0231151101458268
17157,352,0.020516407297313
18012,397,0.0220408616477903
23235,498,0.0214331826985151
20773,464,0.0223366870456843
21111,484,0.0229264364549287
21872,474,0.0216715435259692
20934,475,0.0226903601796121
17946,420,0.023403543965229
18624,427,0.0229274054982817
23790,539,0.0226565783942833
22362,541,0.0241928271174313
20326,491,0.0241562530748794
19874,476,0.0239508906108483
19307,478,0.02475785984358
17672,397,0.0224649162516976
17544,388,0.0221158230734154
22092,538,0.0243527068622125
17871,481,0.0269151138716356
20126,426,0.0211666501043426
19579,496,0.0253332652331579
19042,455,0.0238945488919231
